Mood,song_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_uri
Sad,Another Love,Tom Odell,94.0,0.445,0.537,4.0,-8.532,1.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.072666666666667,spotify:track:3JvKfv6T31zO0ini8iNItO
Sad,Too Good At Goodbyes,Sam Smith,88.0,0.681,0.372,5.0,-8.237,1.0,0.0432,0.64,0.0,0.169,0.476,91.873,3.35,spotify:track:1mXVgsBdtIVeCLJnSnmtdV
Sad,Iris,The Goo Goo Dolls,87.0,0.315,0.715,11.0,-8.072,1.0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,4.82555,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs
Sad,SLOW DANCING IN THE DARK,Joji,86.0,0.515,0.479,3.0,-7.458,1.0,0.0261,0.544,9.730000000000001e-05,0.191,0.284,88.964,3.4879,spotify:track:0rKtyWc8bvkriBthvHKY8d
Sad,Easy On Me,Adele,86.0,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,3.7449166666666667,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
Sad,Fix You,Coldplay,87.0,0.209,0.417,3.0,-8.74,1.0,0.0338,0.164,9.730000000000001e-05,0.113,0.124,138.178,4.92555,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q
Sad,Lose You To Love Me,Selena Gomez,84.0,0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.14075000000000001,0.0978,102.819,3.4409833333333335,spotify:track:4l0Mvzj72xxOpRrp6h8nHi
Sad,A Thousand Years,Christina Perri,84.0,0.421,0.407,10.0,-7.445,1.0,0.0267,0.309,9.730000000000001e-05,0.11,0.161,139.028,4.752,spotify:track:6lanRgr6wXibZr8KgzXxBl
Sad,Dancing On My Own,Calum Scott,83.0,0.681,0.174,1.0,-8.745,1.0,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,4.3380833333333335,spotify:track:2BOqDYLOJBiMOXShCV1neZ
Sad,All I Want,Kodaline,83.0,0.41874999999999996,0.411,0.0,-9.733,1.0,0.0484,0.174,9.730000000000001e-05,0.0843,0.159,187.376,5.095783333333333,spotify:track:0NlGoUyOJSuSHmngoibVAs
Sad,Stay With Me,Sam Smith,87.0,0.418,0.42,0.0,-6.444,1.0,0.0414,0.588,6.39e-05,0.11,0.184,84.094,2.8787333333333334,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt
Sad,I Fall Apart,Post Malone,83.0,0.556,0.538,8.0,-5.408,1.0,0.0382,0.0689,0.0,0.196,0.291,143.95,3.72245,spotify:track:75ZvA4QfFiZvzhj2xkaWAh
Sad,July,Noah Cyrus,83.0,0.708,0.186,9.0,-8.953,1.0,0.042,0.868,0.0,0.0779,0.322,72.541,2.601766666666667,spotify:track:6J2LdBN97cDWn0MLxYh9HB
