Mood,song_name,song_uri,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Sad,Summertime Sadness,spotify:track:1Ist6PR2BZR3n2z2Y5R6S1,Lana Del Rey,79,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773
Sad,Let Her Go,spotify:track:1KxwZYyzWNyZSRyErj2ojT,Passenger,79,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,252733
Sad,In My Life - Remastered 2009,spotify:track:3KfbEIOC7YIv90FIfNSZpo,The Beatles,79,0.688,0.435,9,-11.359,1,0.0323,0.449,0.0,0.113,0.435,103.239,146333
Sad,All Too Well (Taylor's Version),spotify:track:3nsfB1vus2qaloUdcBZvDu,Taylor Swift,79,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,329160
Sad,It'll Be Okay,spotify:track:2KnLkZ3z7PO3kgVGHGqDpD,Shawn Mendes,78,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,222800
Sad,Jealous,spotify:track:4G92yYrUs0cvY7G41YRI0z,Labrinth,78,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,287693
Sad,Supermarket Flowers,spotify:track:4VuS959DSpr82t3qBqCrWG,Ed Sheeran,78,0.589,0.242,6,-10.517,1,0.0442,0.914,0.0,0.0887,0.257,89.749,221107
Sad,Let Somebody Go,spotify:track:4cGqn0E8JCSY9gQllQj4Mf,Coldplay,78,0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953,241595
Sad,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),spotify:track:7qEUFOVcxRI19tbT68JcYK,Taylor Swift,78,0.498,0.61,6,-5.098,1,0.0363,0.271,0.0,0.223,0.474,79.918,245427
Sad,Breakeven,spotify:track:285hMzLhJwHVLe9QT9qilk,The Script,77,0.63,0.696,10,-4.501,1,0.0242,0.144,0.0,0.0835,0.491,94.034,261427
Sad,Hurt,spotify:track:28cnXtME493VX9NOw9cIUh,Johnny Cash,77,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533
Sad,Love You Anyway,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,Luke Combs,77,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,229627
